iter	Passed	Remaining
399	57818	86727
400	57951	86566
401	58063	86372
402	58199	86216
403	58344	86072
404	58481	85917
405	58632	85783
406	58771	85629
407	58911	85479
408	59044	85318
409	59182	85164
410	59324	85017
411	59466	84869
412	59613	84729
413	59726	84540
414	59859	84380
415	59981	84204
416	60125	84060
417	60269	83915
418	60424	83787
419	60543	83607
420	60689	83466
421	60833	83321
422	60969	83166
423	61085	82984
424	61223	82831
425	61359	82677
426	61514	82547
427	61644	82384
428	61804	82261
429	61933	82098
430	62087	81967
431	62223	81811
432	62399	81710
433	62525	81542
434	62674	81405
435	62830	81275
436	62986	81146
437	63133	81006
438	63250	80828
439	63412	80707
440	63575	80586
441	63720	80443
442	63876	80313
443	64030	80181
444	64202	80073
445	64362	79948
446	64540	79845
447	64682	79698
448	64827	79554
449	64993	79436
450	65130	79283
451	65314	79186
452	65466	79051
453	65630	78930
454	65787	78800
455	65929	78652
456	66098	78537
457	66251	78402
458	66399	78261
459	66552	78127
460	66687	77970
461	66828	77822
462	66950	77651
463	67108	77521
464	67260	77385
465	67417	77255
466	67562	77111
467	67726	76988
468	67859	76830
469	68016	76699
470	68162	76556
471	68296	76399
472	68438	76251
473	68585	76110
474	68732	75967
475	68882	75828
476	69008	75662
477	69149	75515
478	69277	75352
479	69410	75195
480	69559	75055
481	69698	74904
482	69851	74768
483	69975	74602
484	70117	74454
485	70280	74330
486	70423	74183
487	70542	74011
488	70701	73881
489	70829	73720
490	70949	73550
491	71093	73405
492	71243	73266
493	71402	73137
494	71531	72976
495	71683	72839
496	71822	72690
497	71949	72527
498	72095	72384
499	72259	72259
500	72410	72121
501	72561	71982
502	72733	71866
503	72879	71722
504	73039	71593
505	73178	71442
506	73307	71283
507	73438	71125
508	73593	70990
509	73712	70822
510	73883	70702
511	74030	70560
512	74168	70409
513	74313	70265
514	74436	70100
515	74604	69978
516	74735	69820
517	74885	69680
518	75022	69529
519	75178	69395
520	75319	69247
521	75460	69099
522	75623	68972
523	75762	68822
524	75933	68701
525	76071	68551
526	76225	68415
527	76374	68274
528	76542	68150
529	76682	68001
530	76819	67850
531	76956	67698
532	77106	67558
533	77239	67403
534	77393	67266
535	77514	67102
536	77646	66946
537	77797	66807
538	77921	66644
539	78064	66499
540	78225	66368
541	78367	66221
542	78504	66071
543	78652	65929
544	78806	65792
545	78940	65638
546	79093	65501
547	79220	65342
548	79383	65213
549	79511	65054
550	79630	64889
551	79780	64749
552	79917	64598
553	80043	64439
554	80197	64302
555	80358	64170
556	80500	64024
557	80646	63880
558	80788	63734
559	80934	63591
560	81106	63468
561	81231	63308
562	81370	63159
563	81541	63035
564	81681	62887
565	81826	62743
566	81969	62597
567	82107	62447
568	82263	62312
569	82391	62154
570	82539	62012
571	82681	61866
572	82819	61716
573	82967	61575
574	83093	61417
575	83219	61258
576	83385	61130
577	83518	60977
578	83643	60818
579	83782	60670
580	83923	60522
581	84056	60370
582	84203	60227
583	84349	60084
584	84490	59937
585	84650	59804
586	84775	59646
587	84918	59500
588	85075	59364
589	85236	59232
590	85377	59085
591	85518	58938
592	85690	58812
593	85819	58657
594	85955	58507
595	86092	58358
596	86256	58226
597	86411	58089
598	86554	57943
599	86697	57798
600	86843	57654
601	87007	57523
602	87150	57377
603	87319	57249
604	87458	57100
605	87593	56950
606	87743	56809
607	87874	56656
608	88007	56503
609	88132	56347
610	88278	56203
611	88417	56055
612	88581	55923
613	88714	55771
614	88867	55632
615	89021	55494
616	89158	55344
617	89282	55187
618	89438	55050
619	89587	54908
620	89707	54749
621	89827	54589
622	89968	54443
623	90123	54305
624	90267	54160
625	90406	54012
626	90551	53868
627	90693	53722
628	90855	53589
629	91022	53457
630	91159	53309
631	91312	53169
632	91466	53030
633	91594	52876
634	91747	52736
635	91888	52590
636	92016	52436
637	92132	52275
638	92301	52145
639	92446	52001
640	92595	51859
641	92723	51705
642	92854	51553
643	92982	51400
644	93125	51255
645	93266	51108
646	93410	50964
647	93596	50842
648	93733	50694
649	93877	50549
650	94048	50419
651	94180	50268
652	94312	50116
653	94486	49988
654	94653	49855
655	94814	49719
656	94944	49567
657	95074	49415
658	95222	49272
659	95365	49127
660	95497	48976
661	95665	48844
662	95845	48717
663	96006	48581
664	96176	48449
665	96341	48315
666	96509	48182
667	96665	48043
668	96803	47895
669	96928	47740
670	97071	47595
671	97204	47445
672	97383	47317
673	97535	47175
674	97698	47040
675	97869	46907
676	98028	46769
677	98188	46632
678	98365	46502
679	98518	46361
680	98669	46219
681	98815	46075
682	98981	45940
683	99114	45789
684	99301	45663
685	99463	45527
686	99620	45387
687	99756	45238
688	99909	45097
689	100076	44961
690	100235	44823
691	100385	44680
692	100553	44545
693	100708	44404
694	100843	44255
695	101005	44117
696	101159	43976
697	101307	43832
698	101470	43694
699	101602	43543
700	101767	43407
701	101906	43259
702	102055	43116
703	102192	42967
704	102346	42825
705	102486	42678
706	102634	42534
707	102779	42389
708	102929	42245
709	103064	42096
710	103210	41952
711	103366	41811
712	103515	41667
713	103684	41532
714	103828	41386
715	103979	41243
716	104143	41105
717	104300	40964
718	104454	40823
719	104597	40676
720	104740	40530
721	104879	40382
722	105055	40249
723	105201	40104
724	105379	39971
725	105546	39834
726	105712	39696
727	105852	39549
728	106005	39406
729	106145	39259
730	106285	39111
731	106438	38969
732	106609	38833
733	106740	38682
734	106906	38544
735	107052	38399
736	107207	38257
737	107363	38115
738	107513	37971
739	107683	37834
740	107840	37693
741	107999	37552
742	108138	37404
743	108302	37265
744	108470	37127
745	108636	36988
746	108811	36853
747	108961	36708
748	109099	36560
749	109244	36414
750	109405	36274
751	109543	36125
752	109673	35975
753	109802	35824
754	109951	35679
755	110104	35536
756	110288	35402
757	110450	35262
758	110593	35115
759	110754	34975
760	110920	34835
761	111067	34690
762	111236	34551
763	111415	34416
764	111554	34268
765	111729	34131
766	111883	33988
767	112059	33851
768	112187	33699
769	112382	33568
770	112525	33421
771	112659	33272
772	112837	33136
773	112962	32983
774	113096	32834
775	113231	32685
776	113371	32537
777	113505	32388
778	113662	32245
779	113833	32106
780	113977	31960
781	114153	31822
782	114299	31676
783	114465	31536
784	114600	31387
785	114730	31237
786	114871	31089
787	115009	30941
788	115198	30807
789	115343	30660
790	115482	30512
791	115631	30367
792	115782	30223
793	115906	30071
794	116041	29922
795	116198	29779
796	116358	29637
797	116497	29489
798	116639	29342
799	116783	29195
800	116929	29049
801	117054	28898
802	117203	28753
803	117327	28602
804	117466	28454
805	117595	28304
806	117745	28159
807	117879	28011
808	118042	27869
809	118179	27721
810	118332	27576
811	118460	27426
812	118604	27280
813	118726	27129
814	118859	26980
815	118998	26832
816	119145	26687
817	119283	26539
818	119432	26394
819	119567	26246
820	119714	26100
821	119872	25957
822	120044	25817
823	120242	25682
824	120403	25540
825	120566	25397
826	120740	25257
827	120923	25119
828	121060	24971
829	121208	24825
830	121355	24680
831	121526	24539
832	121746	24407
833	121890	24261
834	122035	24114
835	122180	23968
836	122351	23827
837	122510	23683
838	122656	23537
839	122793	23389
840	122951	23245
841	123079	23095
842	123204	22945
843	123342	22797
844	123472	22648
845	123595	22498
846	123730	22350
847	123871	22203
848	124021	22057
849	124158	21910
850	124279	21759
851	124404	21610
852	124563	21466
853	124725	21323
854	124890	21180
855	125026	21032
856	125196	20890
857	125336	20743
858	125465	20594
859	125603	20447
860	125747	20300
861	125879	20152
862	126013	20004
863	126177	19861
864	126315	19713
865	126447	19565
866	126575	19416
867	126727	19271
868	126858	19123
869	126965	18971
870	127094	18823
871	127224	18675
872	127377	18530
873	127521	18384
874	127665	18237
875	127808	18091
876	127978	17949
877	128128	17803
878	128268	17656
879	128381	17506
880	128518	17359
881	128666	17213
882	128833	17070
883	129013	16929
884	129150	16782
885	129285	16634
886	129436	16489
887	129548	16339
888	129669	16190
889	129813	16044
890	129971	15900
891	130141	15757
892	130275	15609
893	130412	15462
894	130554	15316
895	130712	15171
896	130844	15024
897	131007	14880
898	131123	14731
899	131270	14585
900	131390	14436
901	131558	14293
902	131722	14149
903	131893	14006
904	132021	13858
905	132142	13710
906	132298	13565
907	132413	13416
908	132558	13270
909	132684	13122
910	132829	12976
911	132986	12831
912	133159	12688
913	133297	12542
914	133424	12394
915	133555	12247
916	133676	12099
917	133819	11953
918	133953	11806
919	134109	11661
920	134265	11516
921	134388	11369
922	134529	11222
923	134667	11076
924	134805	10930
925	134962	10785
926	135103	10639
927	135233	10492
928	135370	10345
929	135542	10202
930	135705	10057
931	135872	9913
932	136020	9767
933	136143	9620
934	136291	9474
935	136436	9328
936	136578	9182
937	136715	9036
938	136897	8893
939	137032	8746
940	137171	8600
941	137308	8454
942	137466	8309
943	137608	8163
944	137772	8018
945	137906	7872
946	138050	7726
947	138184	7579
948	138349	7434
949	138489	7288
950	138644	7143
951	138786	6997
952	138940	6852
953	139085	6706
954	139227	6560
955	139431	6417
956	139583	6271
957	139720	6125
958	139857	5979
959	140019	5834
960	140199	5689
961	140374	5544
962	140533	5399
963	140672	5253
964	140815	5107
965	140946	4960
966	141100	4815
967	141244	4669
968	141418	4524
969	141571	4378
970	141706	4232
971	141835	4085
972	141978	3939
973	142111	3793
974	142239	3647
975	142396	3501
976	142529	3355
977	142699	3210
978	142873	3064
979	143013	2918
980	143152	2772
981	143277	2626
982	143458	2480
983	143608	2335
984	143750	2189
985	143897	2043
986	144044	1897
987	144182	1751
988	144327	1605
989	144482	1459
990	144617	1313
991	144756	1167
992	144884	1021
993	145009	875
994	145133	729
995	145273	583
996	145435	437
997	145640	291
998	145764	145
999	145900	0
